94;05.09.2018,05:19:03;Type;S11;S12;S21;S22;S31;S32;S41;S42;S51;S52;S61;S62;S71;S72;S81;S82;A1/V;A2/V;D1;D2;R1;R2;S11;S12;S21;S22;S31;S32;S41;S42;S51;S52;S61;S62;S71;S72;S81;S82;A1/V;A2/V;D1;D2;
317;05.09.2018,07:19:03;Event;;;;;;;;;;;;;;;;;0.033;0.033;1;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
318;05.09.2018,07:19:05;Event;;;;;;;;;;;;;;;;;0.033;0.033;0;1;1;0;;;;;;;;;;;;;;;;;1;1;1;0;
319;05.09.2018,07:19:32;Time;;;;;;;;;;;;;;;;;0.033;0.033;0;1;1;0;;;;;;;;;;;;;;;;;1;1;1;0;
320;05.09.2018,07:19:43;Event;;;;;;;;;;;;;;;;;0.033;0.033;0;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
321;05.09.2018,07:20:32;Time;;;;;;;;;;;;;;;;;0.033;0.033;0;1;0;0;;;;;;;;;;;;;;;;;1;1;0;0;
322;05.09.2018,07:21:04;Event;;;;;;;;;;;;;;;;;0.033;0.033;1;1;1;0;;;;;;;;;;;;;;;;;1;1;1;0;
323;05.09.2018,07:21:32;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;1;0;;;;;;;;;;;;;;;;;1;1;1;0;
324;05.09.2018,07:22:32;Time;;;;;;;;;;;;;;;;;0.033;0.033;1;1;1;0;;;;;;;;;;;;;;;;;1;1;1;0;
325;05.09.2018,07:23:28;Event;;;;;;;;;;;;;;;;;1.943;0.024;1;1;1;0;;;;;;;;;;;;;;;;;0;1;1;0;
326;05.09.2018,07:23:29;Event;;;;;;;;;;;;;;;;;11.125;-0.031;1;1;1;0;;;;;;;;;;;;;;;;;1;1;1;0;
