Date;Sensor1;Fridge 2;Sensor3;Sensor6;Alarm1;Alarm2;Alarm3;Alarm4
31.08.2018,03:55:45;29.5;29.688;27.5;28.625;0;0;0;0
31.08.2018,03:57:45;29.438;29.688;27.5;28.625;0;0;0;0
31.08.2018,03:59:45;29.5;29.688;27.5;28.625;0;0;0;0
31.08.2018,04:01:45;29.5;29.688;27.5;28.563;0;0;0;0
31.08.2018,04:03:45;29.5;29.688;27.5;28.563;0;0;0;0
31.08.2018,04:05:44;29.5;29.688;27.5;28.563;0;0;0;0
31.08.2018,04:07:44;29.438;29.688;27.5;28.563;0;0;0;0
31.08.2018,04:09:44;29.5;29.688;27.5;28.563;0;0;0;0
31.08.2018,04:11:44;29.5;29.688;27.5;28.563;0;0;0;0
31.08.2018,04:13:44;29.438;29.688;27.5;28.563;0;0;0;0
31.08.2018,04:15:44;29.438;29.688;27.5;28.563;0;0;0;0
31.08.2018,04:17:44;29.438;29.688;27.5;28.563;0;0;0;0
31.08.2018,04:19:44;29.438;29.688;27.5;28.563;0;0;0;0
31.08.2018,04:21:44;29.5;29.688;27.5;28.563;0;0;0;0
31.08.2018,04:23:44;29.438;29.688;27.5;28.563;0;0;0;0
31.08.2018,04:25:44;29.438;29.688;27.5;28.563;0;0;0;0
31.08.2018,04:27:44;29.438;29.688;27.5;28.563;0;0;0;0
31.08.2018,04:29:44;29.438;29.688;27.5;28.563;0;0;0;0
31.08.2018,04:31:44;29.438;29.688;27.5;28.563;0;0;0;0
31.08.2018,04:33:44;29.438;29.688;27.5;28.563;0;0;0;0
31.08.2018,04:35:44;29.438;29.688;27.5;28.563;0;0;0;0
31.08.2018,04:37:44;29.438;29.688;27.5;28.563;0;0;0;0
31.08.2018,04:39:44;29.438;29.688;27.5;28.563;0;0;0;0
31.08.2018,04:41:44;29.438;29.688;27.5;28.563;0;0;0;0
31.08.2018,04:43:44;29.438;29.688;27.5;28.563;0;0;0;0
31.08.2018,04:45:44;29.438;29.688;27.5;28.563;0;0;0;0
31.08.2018,04:47:44;29.438;29.688;27.5;28.563;0;0;0;0
31.08.2018,04:49:44;29.438;29.625;27.5;28.563;0;0;0;0
31.08.2018,04:51:44;29.438;29.625;27.5;28.563;0;0;0;0
31.08.2018,04:53:44;29.438;29.688;27.5;28.563;0;0;0;0
31.08.2018,04:55:44;29.438;29.625;27.5;28.563;0;0;0;0
31.08.2018,04:57:44;29.438;29.625;27.5;28.563;0;0;0;0
31.08.2018,04:59:44;29.438;29.688;27.375;28.563;0;0;0;0
31.08.2018,05:01:44;29.375;29.688;27.5;28.563;0;0;0;0
31.08.2018,05:03:44;29.313;29.625;27.5;28.5;0;0;0;0
31.08.2018,05:05:44;29.313;29.625;27.375;28.5;0;0;0;0
31.08.2018,05:07:44;29.25;29.625;27.375;28.5;0;0;0;0
31.08.2018,05:09:44;29.188;29.625;27.375;28.5;0;0;0;0
31.08.2018,05:11:44;29.125;29.625;27.25;28.5;0;0;0;0
31.08.2018,05:13:44;29.063;29.625;27.25;28.5;0;0;0;0
31.08.2018,05:15:44;29.063;29.625;27.25;28.5;0;0;0;0
31.08.2018,05:17:44;29;29.625;27.25;28.5;0;0;0;0
31.08.2018,05:19:44;28.938;29.563;27.25;28.5;0;0;0;0
31.08.2018,05:21:44;28.938;29.625;27.25;28.5;0;0;0;0
31.08.2018,05:23:44;28.875;29.625;27.25;28.5;0;0;0;0
31.08.2018,05:25:44;28.875;29.563;27.25;28.5;0;0;0;0
31.08.2018,05:27:44;28.875;29.563;27.25;28.5;0;0;0;0
31.08.2018,05:29:44;28.813;29.563;27.25;28.438;0;0;0;0
31.08.2018,05:31:44;28.813;29.563;27.25;28.5;0;0;0;0
